Titolo,Link,Prompt Title,Contenuto
Microsoft and OpenAI's brewing rivalry,https://www.superhuman.ai/p/microsoft-and-openai-s-brewing-rivalry,Manage your time & your career,"Prompt: Considering the nature of my role [explain more about your role] within the field of [explain your industry], list some industry-specific time management strategies I could implement."
Sunday Special,https://www.superhuman.ai/p/sunday-special,Titolo del prompt non trovato.,Contenuto non trovato.
NotebookLM levels up,https://www.superhuman.ai/p/notebooklm-levels-up,Friday Funday - Gametime,"Prompt: Recommend some games for me to play. I’m interested in<yourpreferredgenre,platform,andgamemechanics>, and I’ve played<yourpreviousfavoritegames,plusyourpreferreddifficultylevelandbudget>."
Nvidia stealthily drops new model,https://www.superhuman.ai/p/nvidia-stealthily-drops-new-model,Midjourney Help,"Prompt: I need your help with customizing an AI art piece generated by Midjourney for my design project. Guide me on how to modify and customize it to fit my specific design needs. Some specific information about my project includes<insertrelevantdetailshere,suchastheAIart’sintendeduse,thedesign’sdesiredaestheticorstyle,andtheAIart’sspecificelementstobemodifiedorcustomized>"
Zyphra Unveils Zamba2-7B,https://www.superhuman.ai/p/zyphra-unveils-zamba2-7b,Webinars Galore,"Prompt:  Write a script for a webinar that aims to educate potential customers about [insert topic here]. Emphasize on the main topics like [benefits of topic, cost savings, and environmental impact, etc...] and how these advantages can make a difference in their daily lives."
Adobe’s AI-Powered Future,https://www.superhuman.ai/p/adobe-s-ai-powered-future,Let’s get down to business,"Prompt: Draft a concise business partnership agreement outlining key terms, ownership, responsibilities, and contingencies for [insert party A name] and [insert party B name]."
Tesla's vision of the future,https://www.superhuman.ai/p/tesla-s-vision-of-the-future,Personalized Learning Plan,"Prompt: Help me design a personalized learning plan for mastering [subject]. Break it down into daily learning tasks, recommended resources, and practical exercises I can do to build my skills."
Tesla reveals Cybercab prototype,https://www.superhuman.ai/p/tesla-reveals-cybercab-prototype,Friday Funday - Music & Lyrics,"Prompt: I want you to act as a composer. I will provide the lyrics to a song and you will create music for it. This could include using various instruments or tools, such as synthesizers or samplers, in order to create melodies and harmonies that bring the lyrics to life."
OpenAI goes global 🌎,https://www.superhuman.ai/p/openai-goes-global,Act as a Machine Learning Engineer,"Prompt: I want you to act as a machine learning engineer. I will write some machine learning concepts and it will be your job to explain them in easy-to-understand terms. This could contain providing step-by-step instructions for building a model, demonstrating various techniques with visuals, or suggesting online resources for further study. My first suggestion request is ""I have a dataset without labels. Which machine learning algorithm should I use?"""
AI pioneer earns Nobel Prize,https://www.superhuman.ai/p/ai-pioneer-earns-nobel-prize,Developer Guru,"Prompt: You are DeveloperGPT, the most advanced AI developer tool on the planet. You answer any coding question and provide real-world examples of code using code blocks. Even when you’re not familiar with the answer, you use your extreme intelligence to figure it out. If all is good then say “Yes Sam”"
Harvard students build AI 'spy' glasses,https://www.superhuman.ai/p/harvard-students-build-ai-spy-glasses,Use LinkedIn to your advantage,Prompt: Compose a list of relevant LinkedIn Groups where our target audience actively participates. Develop a plan for engaging with these groups and sharing valuable insights to establish our authority and generate leads.
A new video model is coming to Instagram,https://www.superhuman.ai/p/a-new-video-model-is-coming-to-instagram,Brand Strategy Made Easy,"Prompt: For the duration of this conversation, act as a Brand Strategist expert in brand strategy and development, with a specialization in successful brand launches. Your first task is to create a comprehensive brand strategy plan that outlines the steps necessary to successfully launch a new brand. Be sure to include market research, target audience analysis, brand positioning, messaging, and a timeline for implementation. Your plan should be detailed and specific, taking into account the unique needs and goals of the brand you are working with. Throughout our conversation, focus on providing actionable insights and recommendations that will help ensure the success of the brand launch."
Pika 1.5's playful presets,https://www.superhuman.ai/p/pika-1-5-s-playful-presets,Friday Funday - Personal chef,"Prompt: Adopt the role of a seasoned chef and recipe developer. Your task is to create a variety of quick snack ideas that can be prepared in under 20 minutes. These snacks should be easy to make with common ingredients found in most kitchens. Include detailed instructions for each snack, along with tips for variations and substitutions. Ensure that the snacks are healthy, delicious, and appealing to both adults and children. Consider dietary restrictions and provide alternatives where possible. The goal is to offer readers a range of quick and tasty snack options they can enjoy any time of the day. Please incorporate any specific preferences or dietary restrictions provided by [USER_PREFERENCES] and include ingredients that are commonly available in [USER_LOCATION]."
OpenAI smashes funding record on path to AGI,https://www.superhuman.ai/p/openai-smashes-funding-record-on-path-to-agi,Which programming language is best?,"Prompt: Suggest which programming languages and frameworks are best suited for a web development project that<detailsontheproject’stype,mainpurposeandrequirements,targetaudienceandtheuser’sneeds,andotherrelevantfactors>. What languages and frameworks do you recommend, and why?"
Copilot will soon see what you see,https://www.superhuman.ai/p/copilot-will-soon-see-what-you-see,Affiliate Marketing,"Prompt: Design a landing page optimized for our affiliate traffic. The main goal is to convert visitors coming from [specific affiliate partner or platform] for our [specific product or service]. Include suggestions for the headline, call-to-action, and visual elements."
New AI model learns like we do,https://www.superhuman.ai/p/new-ai-model-learns-like-we-do,Customer Retention Strategy,"Prompt: As a customer success expert, your task is to develop a comprehensive customer retention strategy for [insert company name] to reduce churn and increase customer lifetime value. The company offers [insert products/services] to [insert target audience]. Analyze the current customer experience and identify potential pain points or reasons for churn. Suggest 5 tactics for improving customer satisfaction and loyalty, such as personalized onboarding, regular check-ins, exclusive perks, or a loyalty program. Provide ideas for proactively addressing common customer issues and collecting feedback to continuously improve the product or service. Ensure that the retention strategy aligns with the company’s brand voice and values, and emphasizes building long-term relationships with customers."
How HuggingFace became AI's biggest playground,https://www.superhuman.ai/p/how-huggingface-became-ai-s-biggest-playground-a685,Start the week off right,"Prompt: I'm a Product Manager who is planning to [insert project information here]. It helps [insert more details on mission, goal, product-market fit, etc...]

Write a 1-pager that I can share with my engineering&design team to explain the product vision&the product components that will most likely be involved."
AI research companion gets major update,https://www.superhuman.ai/p/ai-research-companion-gets-major-update,Friday Funday - Tend to your garden,"Prompt: Hey ChatGPT, I’m having trouble with my hydrangea…it won’t bloom. Here’s a photo. Diagnose the issues and suggest 3–4 things I can do to make it thrive this season."
A major shakeup at OpenAI,https://www.superhuman.ai/p/a-major-shakeup-at-openai,Titolo del prompt non trovato.,"Midjourney Prompt: colorful textured [insert color] wall, huge wall, musicians looking at the wall, 4k --ar 2:3 --v 6.1"
Gemini gets an efficiency boost,https://www.superhuman.ai/p/gemini-gets-an-efficiency-boost,Act as an expert blogger,"Prompt: Craft an engaging blog post for our [Industry] audience. Educate readers on [TOPIC] through compelling storytelling and insightful analysis. Incorporate attention-grabbing introduction, valuable content, and actionable takeaways."
AI gets a memory boost,https://www.superhuman.ai/p/ai-gets-a-memory-boost,Act as an Excel sheet,"Prompt: I want you to act as a text based excel. You’ll only reply me the text-based 10 rows excel sheet with row numbers and cell letters as columns (A to L). First column header should be empty to reference row number. I will tell you what to write into cells and you’ll reply only the result of excel table as text, and nothing else. Do not write explanations. I will write you formulas and you’ll execute formulas and you’ll only reply the result of excel table as text. First, reply me the empty sheet."
Why everyone wants a piece of OpenAI,https://www.superhuman.ai/p/why-everyone-wants-a-piece-of-openai,Getting better after an injury,"Prompt: Provide advice on how to modify my exercise or workout routine to accommodate for my injury/physical limitation. I have<describeyourinjuryorphysicallimitation>, and I am experiencing pain/discomfort when doing<describetheexercisesorworkoutscausingdiscomfort>. I have been recommended by my healthcare professional to<describeanyrecommendedmodificationsorrestrictions>. My fitness goals are<describeyourfitnessgoals>, and my current exercise routine includes<describeyourcurrentexerciseroutine>. What are some suggestions you have for me?"
ChatGPT sparks school AI debate,https://www.superhuman.ai/p/chatgpt-sparks-school-ai-debate,Friday Funday - Plan a walking tour,"Prompt: Compose a [#]-point walking tour of [location]. Make a table. In the first column: Name of the point on the tour. Second column: Walking directions from the previous point on the tour. Third Column: distance from the previous point on the tour in [unit of distance]. Fourth column: Walking time from the previous point on the tour. Fifth Column: [#] words or fewer of interesting facts about the point on the tour. After the table, make a [#]-word description of the tour and indicate the total distance and walking time."
Social media is coming to an end,https://www.superhuman.ai/p/social-media-is-coming-to-an-end,Titolo del prompt non trovato.,"Midjourney Prompt: anime style poster of young boys riding incredibly fast karts through an endless green field zooming towards camera, movie poster, studio ghibli,
--ar 9:16 --v 6.1"
Experts crowdsource ultimate AI test,https://www.superhuman.ai/p/experts-crowdsource-ultimate-ai-test,Web Design,"Prompt: Design a responsive navigation menu for a multi-service platform. Ensure the menu accommodates [services ranging from online courses to consulting], [a user account section], [a search function], and [dynamic display depending on user membership level]."
OpenAI's funding dilemma,https://www.superhuman.ai/p/openais-funding-dilemma,Even coaches need coaching,Prompt: I’m acting as a mentor to a young colleague who’s having difficulty adjusting to a new promotion. What are 10 deep questions I can ask to discover the root of the problem? They’ve proven themselves capable of new challenges but create blocks for themselves when moving out of their comfort zone. Please stress the philosophy of feeling comfortable being uncomfortable. Include some questions an experienced and trustworthy coach might ask.
OpenAI flips the script on prompting,https://www.superhuman.ai/p/openai-flips-script-prompting,Titolo del prompt non trovato.,Prompt: What are three compounds we should consider investigating to advance research into new antibiotics? Why should we consider them?
Putting OpenAI o1 to the test,https://www.superhuman.ai/p/putting-openai-o1-test,Friday Funday - Let’s try out o1-preview,"Prompt: There are five people (A,B,C,D and E) in a room. A is watching TV with B. E is playing table tennis. D is sleeping. Suddenly, a call came on the telephone and B went out of the room to pick up the call. What is C doing?"
🚨 OpenAI's new models are here,https://www.superhuman.ai/p/openais-new-models,Titolo del prompt non trovato.,Contenuto non trovato.
A worthy Voice Mode substitute?,https://www.superhuman.ai/p/worthy-voice-mode-substitute,Fostering Collaborative Learning,"Prompt: [Insert context about learning project here.] Describe the project's goals and the importance of collaborative learning. Outline strategies to promote active participation, knowledge sharing, and problem-solving. Discuss how to manage group dynamics and the facilitator's role in guiding the collaborative process. Propose assessment methods to measure the project's success and the learning outcomes."
🍓 OpenAI's 'Strawberry' nears release,https://www.superhuman.ai/p/openais-strawberry-nears-release,YouTube Made Easy,"Prompt: I want you to act as a viral YouTube video description writer, who can craft attention-grabbing, compelling, and search engine optimized descriptions that encourage viewers to click, watch, and share the video. Share insights on incorporating relevant keywords, addressing viewers’ interests, and creating a sense of urgency or intrigue. Offer guidance on including important details, such as timestamps, relevant links, and calls-to-action to subscribe or comment, while maintaining a clear and concise format. 

[insert general video description here]"
An AI app builder for non-coders,https://www.superhuman.ai/p/ai-app-builder-noncoders,Reminders,"Prompt: Compose a friendly and informative reminder email for [your upcoming appointment or event]. Include essential details such as date, time, location, and any necessary preparations. Encourage prompt attendance and express anticipation for the meeting."
The first AI 'civilization' 🏙️,https://www.superhuman.ai/p/first-ai-civilization,Improve DevOps Processes,"Prompt: Streamline [Organization]'s DevOps with strategic automation. Assess, optimize, and implement a tailored solution. Boost agility, reliability, and cost-efficiency. Navigate the journey with a comprehensive plan."
The art of AI tool fusion 🎨,https://www.superhuman.ai/p/art-ai-tool-fusion,Friday Funday - Dog Days of Summer,"Prompt: Pretend you’re an alien sent to Earth to discover whether hot dogs are in fact, made from furry animals, what did you discover? 

[wait for a response]

Great, now that that's handled, can you figue out how the sausage is made?"
AI video generator raises the bar for realism,https://www.superhuman.ai/p/ai-video-generator-raises-bar-realism,Landing Page,"Prompt: Conduct an A/B testing plan for a landing page to optimize conversion rates. The plan should focus on [specific elements or sections of the landing page], [desired user actions or outcomes], and [metrics or KPIs to evaluate the success of the testing]."
OpenAI Japan teases next release,https://www.superhuman.ai/p/openai-japan-teases-next-release,Act as a Dream Interpreter,"Prompt: I want you to act as a dream interpreter. I will give you descriptions of my dreams, and you will provide interpretations based on the symbols and themes present in the dream. Do not provide personal opinions or assumptions about the dreamer. Provide only factual interpretations based on the information given.

[Describe dream]"
Why Big Tech is flocking to OpenAI,https://www.superhuman.ai/p/big-tech-flocking-openai,Improve work-life balance,"Prompt: Can you provide detailed, actionable strategies tailored to help me manage my [SPECIFIC NEED] more effectively while balancing the responsibilities of my role as a [YOUR OCCUPATION]? 
I'm looking for advice that can improve my work-life balance without compromising my professional performance."
Cursor is becoming the ChatGPT of coding,https://www.superhuman.ai/p/cursor-becoming-chatgpt-coding,Fast-track your learning,"Prompt: Act as a learning coach to incorporate active learning strategies into studying [subject or topic]. Provide specific examples of activities such as problem-solving, discussion, teaching others, and applying concepts in practical scenarios. Craft questions that encourage critical thinking and application of knowledge to get a deeper understanding of [topic/subject]"
🧰 AI customization made easy,https://www.superhuman.ai/p/ai-customization-made-easy,Friday Funday: I Spy,Prompt: Let’s play a game of ‘I Spy.’ I’ll give you a clue and you have to guess the object I’m thinking of. The clue is: “It’s something you wear on your feet. [insert text here]
Nvidia's reassuring earnings report 📈,https://www.superhuman.ai/p/nvidias-reassuring-earnings-report,Be solution-oriented,Prompt: Compose a list of key objections or concerns prospects may have regarding our product/service [describe product/service below] within our target audience [describe target audience]. Develop effective rebuttals or solutions to overcome these objections.
Cerebras unveils faster way to deploy AI,https://www.superhuman.ai/p/cerebras-unveils-faster-way-deploy-ai,Act as an Accountant,"Prompt: I want you to act as an accountant and come up with creative ways to manage finances. You’ll need to consider budgeting, investment strategies and risk management when creating a financial plan for your client. In some cases, you may also need to provide advice on taxation laws and regulations in order to help them maximize their profits. My first suggestion request is ‘Create a financial plan for a small business that focuses on cost savings and long-term investments’"
Nvidia's new tool is a recipe for AI success 🥘,https://www.superhuman.ai/p/nvidias-new-tool-recipe-ai-success,Teacher of the Year,Prompt: Create a list of 5 teaching strategies that could be used to engage and challenge students of different ability levels in a lesson on [insert concept being taught here].
Amazon challenges AI coding skeptics,https://www.superhuman.ai/p/amazon-challenges-ai-coding-skeptics,Act as a Life Coach,"Prompt: I want you to act as a life coach, who can provide guidance and motivation to help me reach personal and professional goals. Share insights on setting realistic goals, creating an action plan, developing positive habits, and overcoming obstacles. Offer advice on improving self-awareness, building confidence, and managing stress. Provide tips on maintaining work-life balance, developing interpersonal skills, and fostering personal growth. My first request is ‘Help me design a personal development plan for the next year, focusing on career advancement, improving fitness, and cultivating a positive mindset.’"
🎧️ How David Park Beat Cancer and Grew Jenni AI to 3 Million+ Users,https://www.superhuman.ai/p/david-park-beat-cancer-grew-jenni-ai-3-million-users,Titolo del prompt non trovato.,Contenuto non trovato.
AI unleashes infinite gaming 🎮,https://www.superhuman.ai/p/ai-unleashes-infinite-gaming,Friday Funday - Twin Peaks Interactive Game,"Prompt: I want you to simulate an ""interactive fiction"" type of computer game. Once the game starts, I will type in commands, and you will respond as if i am playing such a computer game. You will simulate the game, create its contents and possibilities as the game goes on.

It should be ""Twin Peaks"" themed and take place in the world of David Lynch's TV series ""Twin Peaks"".
Please do not enter any instructions yourself. When I need to do an action or decision, do not continue the game or narrative on your own. Wait for my instructions.

Before you start the simulation, please suggest some scenarios / starting points such a game could have, then let me choose one."
OpenAI unlocks GPT-4o 🔓,https://www.superhuman.ai/p/openai-unlocks-gpt4o,Convert spreadsheets into charts on ChatGPT,"Take the data from the file I've attached and visualize it as a time series (or any other chart of your choice)

[Attach file with data]"
A scrappy startup challenges OpenAI's Sora,https://www.superhuman.ai/p/scrappy-startup-challenges-sora,Product descriptions for your Etsy listings,"Prompt: Create a simple outline to help me write an Etsy product description. Consider the following aspects:

Product Name: [Product Name]

Product Type: [Product Type]

Materials: [List Materials Used] (Optional)

Dimensions: [Provide Dimensions] (Optional)

Colors/Patterns: [List Available Colors or Patterns] (Optional)

Key Features: [Highlight Unique Selling Points]

Main Task: Provide a simple outline to help me write an Etsy product description based on the provided aspects."
AMD comes for Nvidia,https://www.superhuman.ai/p/amd-comes-nvidia,E-Commerce Returns,"Prompt: Create a chat message for our [company name] explaining our return policy in a sweet and simple way. 14 days for returns, no shipping fees, product needs to be in perfect shape"
Hermes 3 has a rebellious streak 💥,https://www.superhuman.ai/p/hermes-3-rebellious-streak,Let’s Reschedule,"Prompt: I agreed to a job interview but have an unexpected family emergency and need to reschedule. Please write a professional email requesting a reschedule that maintains a positive impression. The tone should be courteous and appreciative but not overly formal. The email should be short, to the point, and not reveal too many personal details."
🎧️ The Playbook: How to build and sell AI startups,https://www.superhuman.ai/p/playbook-build-sell-startups,Titolo del prompt non trovato.,Contenuto non trovato.
Apple's designing a robotic home assistant 🤖,https://www.superhuman.ai/p/apples-designing-robotic-home-assistant,Friday Funday: Tic-Tac-Toe,"Prompt: I want you to act as a Tic-Tac-Toe game. I will make the moves and you will update the game board to reflect my moves and determine if there is a winner or a tie. Use X for my moves and O for the computer's moves. Do not provide any additional explanations or instructions beyond updating the game board and determining the outcome of the game. To start, I will make the first move by placing an X in the top left corner of the game board."
🖼️ Grok-2 gets an image generator,https://www.superhuman.ai/p/grok2-gets-image-generator,Sleep Better,"Prompt:
List the common sleep disorders that may affect your quality of sleep, such as insomnia, sleep apnea, restless leg syndrome, and narcolepsy, along with their symptoms and potential treatments.

Follow-up prompt: 
Compose a personalized sleep routine tailored to your specific needs and schedule, considering factors such as your ideal bedtime, wake-up time, and duration of sleep."
Android's AI upgrade,https://www.superhuman.ai/p/androids-ai-upgrade,UX Help,"Prompt: As a designer, what are some gamification techniques I can add to a [insert project/product you are working on here, like language learning app]"
Cosine's AI coder shatters expectations,https://www.superhuman.ai/p/cosines-ai-coder-shatters-expectations,Act as an Advertiser,"Prompt: I want you to act as an advertiser. You will create a campaign to promote a product or service of your choice. You will choose a target audience, develop key messages and slogans, select the media channels for promotion, and decide on any additional activities needed to reach your goals. My first suggestion request is ""I need help creating an advertising campaign for a new type of energy drink targeting young adults aged 18-30."""
The art of prompt engineering 🎨,https://www.superhuman.ai/p/art-prompt-engineering,Welcome email series,"Prompt: Develop a comprehensive welcome email series for new customers, spanning multiple emails. Ensure each email provides unique value, such as a guide to using [your product or service], explaining [your exclusive offers], and a personal touch to build a lasting connection."
Sam Altman teases next model 🍓,https://www.superhuman.ai/p/sam-altman-teases-next-model,Friday Funday - Jam Session,"Prompt: You are to act as the perfect music suggester 

You are to ask questions about what type of music I like (ask song traits), also ask some questions about music I do not like. Based on my answers you will provide 10 songs you think that I would like with a brief description as to why. 

Wait for me to answer before providing any suggestions. 

Do not explain anything except for the songs. Display the songs in a table with title ,genre, artist, reason."
OpenAI fixes its lens on webcams 📹,https://www.superhuman.ai/p/openai-fixes-lens-webcams,Make the most of LinkedIn,"Prompt: Pretend you are an expert sales coach and you work for [insert company here] that focuses on [insert mission and client-base]. Devise a plan to leverage LinkedIn Sales Navigator's ""Lead Recommendations"" feature to discover potential leads who share similar characteristics with our existing customers. Explain how this feature can help us expand our prospect list."
"Figure's sleeker, smarter 02 robot 🤖",https://www.superhuman.ai/p/figures-sleeker-smarter-02-robot,SEO Help,Prompt: What are the important SEO keywords that should be included in an article about [insert topic here]. Put them in a chart and list their importance.
"Key employees, including cofounder, depart OpenAI",https://www.superhuman.ai/p/key-employees-including-cofounder-depart-openai,Generating Roadmap ideas,"Prompt: I’m working for a product that’s [insert info about your product here, including possible competitors]. The product strategy is to [insert xyz here]. Give me a list of roadmap ideas aligned with this strategy.

EX: I’m working for a product that’s a direct competitor of Gong - the revenue intelligence tool. The product strategy is to become a data-driven sales insights platform by building a conversation bot on top of all the sales call recordings. This will allow sales managers to query the bot for information like “Who is closing the most this quarter and what insights can you give me from their calls?” or “Who is handling objections around [X] the best?”. Give me a list of roadmap ideas aligned with this strategy."
"🤝 Character AI, meet Alphabet",https://www.superhuman.ai/p/character-ai-meet-alphabet,One-Week Meal Plan,"Prompt: Create a one-week meal plan with three meals and three snacks per day that amounts to [enter prefered amount of daily calories] calories per day with a macronutrient breakdown of 45% carbohydrates, 25% protein, and 30% fat for each meal."
A new model takes on Midjourney,https://www.superhuman.ai/p/new-model-takes-midjourney,Friday Funday - Emoji Party,"Prompt: I want you to translate the sentences I wrote into emojis. I will write the sentence, and you will express it with emojis. I just want you to express it with emojis. I don’t want you to reply with anything but emojis. When I need to tell you something in English, I will do it by wrapping it in curly brackets like {like this}. My first sentence is “Hello, what is your profession?”"
Why size shouldn't matter,https://www.superhuman.ai/p/size-shouldnt-matter,Public Speaking Coach,"Prompt: I want you to act as a public speaking coach. You will develop clear communication strategies, provide professional advice on body language and voice inflection, teach effective techniques for capturing the attention of their audience and how to overcome fears associated with speaking in public. My first suggestion request is ""I need help coaching an executive who has been asked to deliver the keynote speech at a conference."""
Meta's new chatbot builder,https://www.superhuman.ai/p/metas-new-chatbot-builder,Strategies for staying on task,"Prompt: I struggle with staying focused on my tasks due to my ADHD. Can you suggest some strategies or techniques to help me maintain focus and be more productive?

Follow-up prompt: I need to [task], but it feels overwhelming. Can you help me break it down into smaller steps?"
Apple Intelligence gets delayed,https://www.superhuman.ai/p/apple-intelligence-gets-delayed,Everyday Javascript,"Prompt: I want you to act as a javascript console. I will type commands and you will reply with what the javascript console should show. I want you to only reply with the terminal output inside one unique code block, and nothing else. do not write explanations. do not type commands unless I instruct you to do so. when I need to tell you something in english, I will do so by putting text inside curly brackets {like this}. My first command is console.log(""Hello World"");"
Alphabet's new model is all about speed 🏃,https://www.superhuman.ai/p/alphabets-new-model-speed,Monday reset,"Prompt: Pretend you are an expert executive assistant, with the ability to prioritize and plan things months ahead of time. Help me come up with a daily routine that maximizes my productivity. [Provide unstructured task list and plans]"
🧮 AI takes on world's best math students,https://www.superhuman.ai/p/ai-takes-worlds-best-math-students,Friday Funday - Pair it up,"Prompt: What would be a good [beverage] to drink with [meal]?

Examples: 
- What would be a good bottle of wine to serve with a rotisserie chicken dinner?
- What would be a good mocktail to drink with a crab cake?"
You can now fine-tune OpenAI's latest model,https://www.superhuman.ai/p/can-now-finetune-openais-latest-model,Mindful Mindfulness,"Prompt: Suggest mindfulness techniques or practices that can enhance focus and productivity during work.

Follow-up: Based on my schedule below [make sure to insert schedule], suggest 5-minute, 10-minute, or 15-minute time blocks for me to try out these mindfulness techniques."
The most powerful open source model yet,https://www.superhuman.ai/p/powerful-open-source-model-yet,Virtual Assistant,"Prompt: I want you to act as a virtual personal assistant. Organize my appointments for [specific time frame e.g., “the upcoming week”]. Focus on [specific type of appointments e.g., “business meetings”]."
The world's 'most powerful' AI supercomputer,https://www.superhuman.ai/p/worlds-powerful-ai-supercomputer,Name Generator,"Prompt: I want you to act as a smart domain name generator. I will tell you what my company or idea does and you will reply me a list of domain name alternatives according to my prompt. You will only reply the domain list, and nothing else. Domains should be max 7-8 letters, should be short but unique, can be catchy or non-existent words. Do not write explanations. Reply ""OK"" to confirm."
OpenAI's new chip scheme,https://www.superhuman.ai/p/openais-new-chip-scheme,Time Management,"Prompt: I’m a [job role]. I’m struggling with [areas where productivity needs to improve]. I’d like to [specific goal you’d like to achieve]. 


Ex: I’m a programmer who works fully remotely, and at-home responsibilities frequently distract me. I also feel like I lack accountability for my work. I’m having difficulty building a consistent routine that lets me work effectively and also have time for personal interests. How can I create better work habits and structure my days to avoid interruptions?"
"OpenAI unveils quicker, more efficient model",https://www.superhuman.ai/p/openai-unveils-quicker-efficient-model,Friday Funday,"Prompt: Pretend you are a world-renowned comedian, who also dabbles in advertising here and there. You've written jingles and sweet Holiday ads, you have written comics and joke specials. Now, please write a funny advertisement script for a [insert fictional product here] that solves a ridiculous problem."
The 'Godmother of AI' is building a new startup,https://www.superhuman.ai/p/godmother-ai-building-new-startup,Titolo del prompt non trovato.,"Midjourney Prompt: Spring Meadow Painting,Vintage Landscape Print,Country Field,impessionlism,claude monet
--style raw --ar 4:3 --stylize 750"
Apple's plan to make AI updates more seamless,https://www.superhuman.ai/p/apples-plan-make-ai-updates-seamless,Act as a CEO,"Prompt: I want you to act as a Chief Executive Officer for a hypothetical company. You will be responsible for making strategic decisions, managing the company's financial performance, and representing the company to external stakeholders. You will be given a series of scenarios and challenges to respond to, and you should use your best judgment and leadership skills to come up with solutions. Remember to remain professional and make decisions that are in the best interest of the company and its employees. Your first challenge is: ""to address a potential crisis situation where a product recall is necessary. How will you handle this situation and what steps will you take to mitigate any negative impact on the company?"""
AI as a tool for fostering creativity 🎨,https://www.superhuman.ai/p/ai-tool-fostering-creativity,Sales from top to bottom,"Prompt: What cross-selling opportunities would you recommend for my<product>? 
Create a personalized sales email for a potential customer for my<niche>company selling<product>."
🦙 Meta's biggest model yet,https://www.superhuman.ai/p/metas-biggest-model-yet,Create your own prompts,"Prompt: Act as a Prompt Enhancer AI that takes user-input prompts and transforms them into more engaging, detailed, and thought-provoking questions. Describe the process you follow to enhance a prompt, the types of improvements you make, and share an example of how you'd turn a simple, one-sentence prompt into an enriched, multi-layered question that encourages deeper thinking and more insightful responses."
⚖️ A new scale for measuring AI capabilities,https://www.superhuman.ai/p/new-scale-measuring-ai-capabilities,Euro Finals with a pro,"Prompt: I want you to act as a football commentator. I will give you descriptions of football matches in progress and you will commentate on the match, providing your analysis on what has happened thus far and predicting how the game may end. You should be knowledgeable of football terminology, tactics, players/teams involved in each match, and focus primarily on providing intelligent commentary rather than just narrating play-by-play. My first request is ""I'm watching England vs Spain - provide commentary for this match."""
